TABLE 6J - COMPLETE CC LIST
Diagnosis Code	Description
A15.6	Tuberculous pleurisy
A15.7	Primary respiratory tuberculosis
A15.8	Other respiratory tuberculosis
A15.9	Respiratory tuberculosis unspecified
A17.9	Tuberculosis of nervous system, unspecified
A18.01	Tuberculosis of spine
A18.02	Tuberculous arthritis of other joints
A18.03	Tuberculosis of other bones
A18.09	Other musculoskeletal tuberculosis
A18.10	Tuberculosis of genitourinary system, unspecified
A18.11	Tuberculosis of kidney and ureter
A18.12	Tuberculosis of bladder
A18.13	Tuberculosis of other urinary organs
A18.14	Tuberculosis of prostate
A18.15	Tuberculosis of other male genital organs
A18.16	Tuberculosis of cervix
A18.17	Tuberculous female pelvic inflammatory disease
A18.18	Tuberculosis of other female genital organs
A18.2	Tuberculous peripheral lymphadenopathy
A18.32	Tuberculous enteritis
A18.39	Retroperitoneal tuberculosis
A18.4	Tuberculosis of skin and subcutaneous tissue
A18.50	Tuberculosis of eye, unspecified
A18.51	Tuberculous episcleritis
A18.52	Tuberculous keratitis
A18.53	Tuberculous chorioretinitis
A18.54	Tuberculous iridocyclitis
A18.59	Other tuberculosis of eye
A18.6	Tuberculosis of (inner) (middle) ear
A18.7	Tuberculosis of adrenal glands
A18.81	Tuberculosis of thyroid gland
A18.82	Tuberculosis of other endocrine glands
A18.83	Tuberculosis of digestive tract organs, not elsewhere classified
A18.84	Tuberculosis of heart
A18.85	Tuberculosis of spleen
A18.89	Tuberculosis of other sites
A21.0	Ulceroglandular tularemia
A21.1	Oculoglandular tularemia
A21.2	Pulmonary tularemia
A21.3	Gastrointestinal tularemia
A21.7	Generalized tularemia
A21.8	Other forms of tularemia
A21.9	Tularemia, unspecified
A22.0	Cutaneous anthrax
A22.2	Gastrointestinal anthrax
A22.8	Other forms of anthrax
A22.9	Anthrax, unspecified
A23.8	Other brucellosis
A23.9	Brucellosis, unspecified
A24.0	Glanders
A24.1	Acute and fulminating melioidosis
A24.2	Subacute and chronic melioidosis
A24.3	Other melioidosis
A24.9	Melioidosis, unspecified
A25.0	Spirillosis
A25.1	Streptobacillosis
A25.9	Rat-bite fever, unspecified
A27.0	Leptospirosis icterohemorrhagica
A27.89	Other forms of leptospirosis
A27.9	Leptospirosis, unspecified
A28.0	Pasteurellosis
A28.1	Cat-scratch disease
A28.2	Extraintestinal yersiniosis
A28.8	Other specified zoonotic bacterial diseases, not elsewhere classified
A28.9	Zoonotic bacterial disease, unspecified
A30.0	Indeterminate leprosy
A30.1	Tuberculoid leprosy
A30.2	Borderline tuberculoid leprosy
A30.3	Borderline leprosy
A30.4	Borderline lepromatous leprosy
A30.5	Lepromatous leprosy
A30.8	Other forms of leprosy
A30.9	Leprosy, unspecified
A31.0	Pulmonary mycobacterial infection
A31.1	Cutaneous mycobacterial infection
A31.2	Disseminated mycobacterium avium-intracellulare complex (DMAC)
A31.8	Other mycobacterial infections
A31.9	Mycobacterial infection, unspecified
A32.0	Cutaneous listeriosis
A32.11	Listerial meningitis
A32.12	Listerial meningoencephalitis
A32.81	Oculoglandular listeriosis
A32.82	Listerial endocarditis
A32.89	Other forms of listeriosis
A32.9	Listeriosis, unspecified
A34	Obstetrical tetanus
A36.0	Pharyngeal diphtheria
A36.1	Nasopharyngeal diphtheria
A36.2	Laryngeal diphtheria
A36.3	Cutaneous diphtheria
A36.81	Diphtheritic cardiomyopathy
A36.82	Diphtheritic radiculomyelitis
A36.83	Diphtheritic polyneuritis
A36.84	Diphtheritic tubulo-interstitial nephropathy
A36.85	Diphtheritic cystitis
A36.86	Diphtheritic conjunctivitis
A36.89	Other diphtheritic complications
A36.9	Diphtheria, unspecified
A37.00	Whooping cough due to Bordetella pertussis without pneumonia
A37.10	Whooping cough due to Bordetella parapertussis without pneumonia
A37.80	Whooping cough due to other Bordetella species without pneumonia
A37.90	Whooping cough, unspecified species without pneumonia
A38.0	Scarlet fever with otitis media
A38.1	Scarlet fever with myocarditis
A38.8	Scarlet fever with other complications
A38.9	Scarlet fever, uncomplicated
A39.82	Meningococcal retrobulbar neuritis
A39.83	Meningococcal arthritis
A39.84	Postmeningococcal arthritis
A39.89	Other meningococcal infections
A39.9	Meningococcal infection, unspecified
A42.0	Pulmonary actinomycosis
A42.1	Abdominal actinomycosis
A42.2	Cervicofacial actinomycosis
A42.81	Actinomycotic meningitis
A42.82	Actinomycotic encephalitis
A42.89	Other forms of actinomycosis
A42.9	Actinomycosis, unspecified
A43.0	Pulmonary nocardiosis
A43.1	Cutaneous nocardiosis
A43.8	Other forms of nocardiosis
A43.9	Nocardiosis, unspecified
A44.0	Systemic bartonellosis
A44.1	Cutaneous and mucocutaneous bartonellosis
A44.8	Other forms of bartonellosis
A44.9	Bartonellosis, unspecified
A48.51	Infant botulism
A48.52	Wound botulism
A50.01	Early congenital syphilitic oculopathy
A50.02	Early congenital syphilitic osteochondropathy
A50.03	Early congenital syphilitic pharyngitis
A50.04	Early congenital syphilitic pneumonia
A50.05	Early congenital syphilitic rhinitis
A50.06	Early cutaneous congenital syphilis
A50.07	Early mucocutaneous congenital syphilis
A50.08	Early visceral congenital syphilis
A50.09	Other early congenital syphilis, symptomatic
A50.2	Early congenital syphilis, unspecified
A50.30	Late congenital syphilitic oculopathy, unspecified
A50.31	Late congenital syphilitic interstitial keratitis
A50.32	Late congenital syphilitic chorioretinitis
A50.39	Other late congenital syphilitic oculopathy
A50.40	Late congenital neurosyphilis, unspecified
A50.43	Late congenital syphilitic polyneuropathy
A50.44	Late congenital syphilitic optic nerve atrophy
A50.45	Juvenile general paresis
A50.49	Other late congenital neurosyphilis
A50.51	Clutton's joints
A50.52	Hutchinson's teeth
A50.53	Hutchinson's triad
A50.54	Late congenital cardiovascular syphilis
A50.55	Late congenital syphilitic arthropathy
A50.56	Late congenital syphilitic osteochondropathy
A50.57	Syphilitic saddle nose
A50.59	Other late congenital syphilis, symptomatic
A51.31	Condyloma latum
A51.32	Syphilitic alopecia
A51.39	Other secondary syphilis of skin
A51.42	Secondary syphilitic female pelvic disease
A51.43	Secondary syphilitic oculopathy
A51.44	Secondary syphilitic nephritis
A51.45	Secondary syphilitic hepatitis
A51.46	Secondary syphilitic osteopathy
A51.49	Other secondary syphilitic conditions
A52.00	Cardiovascular syphilis, unspecified
A52.01	Syphilitic aneurysm of aorta
A52.02	Syphilitic aortitis
A52.03	Syphilitic endocarditis
A52.04	Syphilitic cerebral arteritis
A52.05	Other cerebrovascular syphilis
A52.06	Other syphilitic heart involvement
A52.09	Other cardiovascular syphilis
A52.10	Symptomatic neurosyphilis, unspecified
A52.11	Tabes dorsalis
A52.12	Other cerebrospinal syphilis
A52.15	Late syphilitic neuropathy
A52.16	Charcot's arthropathy (tabetic)
A52.17	General paresis
A52.19	Other symptomatic neurosyphilis
A52.2	Asymptomatic neurosyphilis
A52.3	Neurosyphilis, unspecified
A52.71	Late syphilitic oculopathy
A52.72	Syphilis of lung and bronchus
A52.73	Symptomatic late syphilis of other respiratory organs
A52.74	Syphilis of liver and other viscera
A52.75	Syphilis of kidney and ureter
A52.76	Other genitourinary symptomatic late syphilis
A52.77	Syphilis of bone and joint
A52.78	Syphilis of other musculoskeletal tissue
A52.79	Other symptomatic late syphilis
A54.00	Gonococcal infection of lower genitourinary tract, unspecified
A54.01	Gonococcal cystitis and urethritis, unspecified
A54.02	Gonococcal vulvovaginitis, unspecified
A54.03	Gonococcal cervicitis, unspecified
A54.09	Other gonococcal infection of lower genitourinary tract
A54.1	Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A54.21	Gonococcal infection of kidney and ureter
A54.22	Gonococcal prostatitis
A54.23	Gonococcal infection of other male genital organs
A54.24	Gonococcal female pelvic inflammatory disease
A54.29	Other gonococcal genitourinary infections
A54.30	Gonococcal infection of eye, unspecified
A54.31	Gonococcal conjunctivitis
A54.32	Gonococcal iridocyclitis
A54.33	Gonococcal keratitis
A54.39	Other gonococcal eye infection
A54.40	Gonococcal infection of musculoskeletal system, unspecified
A54.41	Gonococcal spondylopathy
A54.42	Gonococcal arthritis
A54.43	Gonococcal osteomyelitis
A54.49	Gonococcal infection of other musculoskeletal tissue
A54.82	Gonococcal brain abscess
A54.83	Gonococcal heart infection
A54.84	Gonococcal pneumonia
A54.85	Gonococcal peritonitis
A54.89	Other gonococcal infections
A54.9	Gonococcal infection, unspecified
A68.0	Louse-borne relapsing fever
A68.1	Tick-borne relapsing fever
A68.9	Relapsing fever, unspecified
A69.1	Other Vincent's infections
A69.20	Lyme disease, unspecified
A69.21	Meningitis due to Lyme disease
A69.22	Other neurologic disorders in Lyme disease
A69.23	Arthritis due to Lyme disease
A69.29	Other conditions associated with Lyme disease
A70	Chlamydia psittaci infections
A75.0	Epidemic louse-borne typhus fever due to Rickettsia prowazekii
A75.1	Recrudescent typhus [Brill's disease]
A75.2	Typhus fever due to Rickettsia typhi
A75.3	Typhus fever due to Rickettsia tsutsugamushi
A75.9	Typhus fever, unspecified
A77.0	Spotted fever due to Rickettsia rickettsii
A77.1	Spotted fever due to Rickettsia conorii
A77.2	Spotted fever due to Rickettsia siberica
A77.3	Spotted fever due to Rickettsia australis
A77.40	Ehrlichiosis, unspecified
A77.41	Ehrlichiosis chaffeensis [E. chaffeensis]
A77.49	Other ehrlichiosis
A77.8	Other spotted fevers
A77.9	Spotted fever, unspecified
A78	Q fever
A79.0	Trench fever
A79.1	Rickettsialpox due to Rickettsia akari
A79.81	Rickettsiosis due to Ehrlichia sennetsu
A79.82	Anaplasmosis [A. phagocytophilum]
A79.89	Other specified rickettsioses
A79.9	Rickettsiosis, unspecified
A81.00	Creutzfeldt-Jakob disease, unspecified
A81.01	Variant Creutzfeldt-Jakob disease
A81.09	Other Creutzfeldt-Jakob disease
A81.1	Subacute sclerosing panencephalitis
A81.2	Progressive multifocal leukoencephalopathy
A81.81	Kuru
A81.82	Gerstmann-Straussler-Scheinker syndrome
A81.83	Fatal familial insomnia
A81.89	Other atypical virus infections of central nervous system
A81.9	Atypical virus infection of central nervous system, unspecified
A82.0	Sylvatic rabies
A82.1	Urban rabies
A82.9	Rabies, unspecified
A85.0	Enteroviral encephalitis
A85.1	Adenoviral encephalitis
A85.8	Other specified viral encephalitis
A86	Unspecified viral encephalitis
A87.0	Enteroviral meningitis
A87.1	Adenoviral meningitis
A87.2	Lymphocytic choriomeningitis
A87.8	Other viral meningitis
A87.9	Viral meningitis, unspecified
A88.0	Enteroviral exanthematous fever [Boston exanthem]
A88.8	Other specified viral infections of central nervous system
A89	Unspecified viral infection of central nervous system
A90	Dengue fever [classical dengue]
A91	Dengue hemorrhagic fever
A92.0	Chikungunya virus disease
A92.1	O'nyong-nyong fever
A92.2	Venezuelan equine fever
A92.4	Rift Valley fever
A92.5	Zika virus disease
A92.8	Other specified mosquito-borne viral fevers
A92.9	Mosquito-borne viral fever, unspecified
A93.0	Oropouche virus disease
A93.1	Sandfly fever
A93.2	Colorado tick fever
A93.8	Other specified arthropod-borne viral fevers
A94	Unspecified arthropod-borne viral fever
A95.0	Sylvatic yellow fever
A95.1	Urban yellow fever
A95.9	Yellow fever, unspecified
A96.0	Junin hemorrhagic fever
A96.1	Machupo hemorrhagic fever
A96.8	Other arenaviral hemorrhagic fevers
A96.9	Arenaviral hemorrhagic fever, unspecified
A98.0	Crimean-Congo hemorrhagic fever
A98.1	Omsk hemorrhagic fever
A98.2	Kyasanur Forest disease
A98.5	Hemorrhagic fever with renal syndrome
A98.8	Other specified viral hemorrhagic fevers
A99	Unspecified viral hemorrhagic fever
B00.2	Herpesviral gingivostomatitis and pharyngotonsillitis
B00.50	Herpesviral ocular disease, unspecified
B00.51	Herpesviral iridocyclitis
B00.52	Herpesviral keratitis
B00.53	Herpesviral conjunctivitis
B00.59	Other herpesviral disease of eye
B00.81	Herpesviral hepatitis
B00.89	Other herpesviral infection
B01.0	Varicella meningitis
B01.81	Varicella keratitis
B01.89	Other varicella complications
B01.9	Varicella without complication
B02.0	Zoster encephalitis
B02.21	Postherpetic geniculate ganglionitis
B02.22	Postherpetic trigeminal neuralgia
B02.23	Postherpetic polyneuropathy
B02.29	Other postherpetic nervous system involvement
B02.30	Zoster ocular disease, unspecified
B02.31	Zoster conjunctivitis
B02.32	Zoster iridocyclitis
B02.33	Zoster keratitis
B02.34	Zoster scleritis
B02.39	Other herpes zoster eye disease
B02.7	Disseminated zoster
B02.8	Zoster with other complications
B03	Smallpox
B04	Monkeypox
B05.1	Measles complicated by meningitis
B05.4	Measles with intestinal complications
B05.81	Measles keratitis and keratoconjunctivitis
B05.89	Other measles complications
B06.00	Rubella with neurological complication, unspecified
B06.02	Rubella meningitis
B06.09	Other neurological complications of rubella
B06.81	Rubella pneumonia
B06.82	Rubella arthritis
B06.89	Other rubella complications
B08.3	Erythema infectiosum [fifth disease]
B08.71	Tanapox virus disease
B15.9	Hepatitis A without hepatic coma
B16.1	Acute hepatitis B with delta-agent without hepatic coma
B16.9	Acute hepatitis B without delta-agent and without hepatic coma
B17.0	Acute delta-(super) infection of hepatitis B carrier
B17.10	Acute hepatitis C without hepatic coma
B17.2	Acute hepatitis E
B17.8	Other specified acute viral hepatitis
B17.9	Acute viral hepatitis, unspecified
B18.0	Chronic viral hepatitis B with delta-agent
B18.1	Chronic viral hepatitis B without delta-agent
B18.8	Other chronic viral hepatitis
B18.9	Chronic viral hepatitis, unspecified
B19.10	Unspecified viral hepatitis B without hepatic coma
B19.9	Unspecified viral hepatitis without hepatic coma
B20	Human immunodeficiency virus [HIV] disease
B25.1	Cytomegaloviral hepatitis
B25.8	Other cytomegaloviral diseases
B25.9	Cytomegaloviral disease, unspecified
B26.0	Mumps orchitis
B26.3	Mumps pancreatitis
B26.81	Mumps hepatitis
B26.82	Mumps myocarditis
B26.83	Mumps nephritis
B26.84	Mumps polyneuropathy
B26.85	Mumps arthritis
B26.89	Other mumps complications
B33.1	Ross River disease
B33.20	Viral carditis, unspecified
B33.21	Viral endocarditis
B33.22	Viral myocarditis
B33.23	Viral pericarditis
B33.4	Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS]
B34.3	Parvovirus infection, unspecified
B37.0	Candidal stomatitis
B37.41	Candidal cystitis and urethritis
B37.49	Other urogenital candidiasis
B37.81	Candidal esophagitis
B37.82	Candidal enteritis
B37.83	Candidal cheilitis
B37.84	Candidal otitis externa
B37.89	Other sites of candidiasis
B38.0	Acute pulmonary coccidioidomycosis
B38.1	Chronic pulmonary coccidioidomycosis
B38.2	Pulmonary coccidioidomycosis, unspecified
B38.3	Cutaneous coccidioidomycosis
B38.7	Disseminated coccidioidomycosis
B38.81	Prostatic coccidioidomycosis
B38.89	Other forms of coccidioidomycosis
B38.9	Coccidioidomycosis, unspecified
B39.3	Disseminated histoplasmosis capsulati
B40.0	Acute pulmonary blastomycosis
B40.1	Chronic pulmonary blastomycosis
B40.2	Pulmonary blastomycosis, unspecified
B40.3	Cutaneous blastomycosis
B40.7	Disseminated blastomycosis
B40.81	Blastomycotic meningoencephalitis
B40.89	Other forms of blastomycosis
B40.9	Blastomycosis, unspecified
B41.0	Pulmonary paracoccidioidomycosis
B41.7	Disseminated paracoccidioidomycosis
B41.8	Other forms of paracoccidioidomycosis
B41.9	Paracoccidioidomycosis, unspecified
B44.1	Other pulmonary aspergillosis
B44.2	Tonsillar aspergillosis
B44.7	Disseminated aspergillosis
B44.81	Allergic bronchopulmonary aspergillosis
B44.89	Other forms of aspergillosis
B44.9	Aspergillosis, unspecified
B45.0	Pulmonary cryptococcosis
B45.2	Cutaneous cryptococcosis
B45.3	Osseous cryptococcosis
B45.7	Disseminated cryptococcosis
B45.8	Other forms of cryptococcosis
B45.9	Cryptococcosis, unspecified
B47.0	Eumycetoma
B47.1	Actinomycetoma
B47.9	Mycetoma, unspecified
B48.2	Allescheriasis
B48.3	Geotrichosis
B48.4	Penicillosis
B48.8	Other specified mycoses
B49	Unspecified mycosis
B50.0	Plasmodium falciparum malaria with cerebral complications
B50.8	Other severe and complicated Plasmodium falciparum malaria
B51.0	Plasmodium vivax malaria with rupture of spleen
B51.8	Plasmodium vivax malaria with other complications
B51.9	Plasmodium vivax malaria without complication
B52.0	Plasmodium malariae malaria with nephropathy
B52.8	Plasmodium malariae malaria with other complications
B52.9	Plasmodium malariae malaria without complication
B53.0	Plasmodium ovale malaria
B53.1	Malaria due to simian plasmodia
B53.8	Other malaria, not elsewhere classified
B54	Unspecified malaria
B55.0	Visceral leishmaniasis
B55.1	Cutaneous leishmaniasis
B55.2	Mucocutaneous leishmaniasis
B55.9	Leishmaniasis, unspecified
B56.0	Gambiense trypanosomiasis
B56.1	Rhodesiense trypanosomiasis
B56.9	African trypanosomiasis, unspecified
B57.0	Acute Chagas' disease with heart involvement
B57.1	Acute Chagas' disease without heart involvement
B57.2	Chagas' disease (chronic) with heart involvement
B57.30	Chagas' disease with digestive system involvement, unspecified
B57.31	Megaesophagus in Chagas' disease
B57.32	Megacolon in Chagas' disease
B57.39	Other digestive system involvement in Chagas' disease
B57.40	Chagas' disease with nervous system involvement, unspecified
B57.41	Meningitis in Chagas' disease
B57.42	Meningoencephalitis in Chagas' disease
B57.49	Other nervous system involvement in Chagas' disease
B57.5	Chagas' disease (chronic) with other organ involvement
B58.00	Toxoplasma oculopathy, unspecified
B58.01	Toxoplasma chorioretinitis
B58.09	Other toxoplasma oculopathy
B58.1	Toxoplasma hepatitis
B58.82	Toxoplasma myositis
B58.83	Toxoplasma tubulo-interstitial nephropathy
B58.89	Toxoplasmosis with other organ involvement
B58.9	Toxoplasmosis, unspecified
B60.00	Babesiosis, unspecified
B60.01	Babesiosis due to Babesia microti
B60.02	Babesiosis due to Babesia duncani
B60.03	Babesiosis due to Babesia divergens
B60.09	Other babesiosis
B60.10	Acanthamebiasis, unspecified
B60.19	Other acanthamebic disease
B60.2	Naegleriasis
B65.0	Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]
B65.1	Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]
B65.2	Schistosomiasis due to Schistosoma japonicum
B65.3	Cercarial dermatitis
B65.8	Other schistosomiasis
B65.9	Schistosomiasis, unspecified
B66.0	Opisthorchiasis
B66.1	Clonorchiasis
B66.2	Dicroceliasis
B66.3	Fascioliasis
B66.4	Paragonimiasis
B66.5	Fasciolopsiasis
B66.8	Other specified fluke infections
B67.0	Echinococcus granulosus infection of liver
B67.1	Echinococcus granulosus infection of lung
B67.2	Echinococcus granulosus infection of bone
B67.31	Echinococcus granulosus infection, thyroid gland
B67.32	Echinococcus granulosus infection, multiple sites
B67.39	Echinococcus granulosus infection, other sites
B67.4	Echinococcus granulosus infection, unspecified
B67.5	Echinococcus multilocularis infection of liver
B67.61	Echinococcus multilocularis infection, multiple sites
B67.69	Echinococcus multilocularis infection, other sites
B67.7	Echinococcus multilocularis infection, unspecified
B67.8	Echinococcosis, unspecified, of liver
B67.90	Echinococcosis, unspecified
B67.99	Other echinococcosis
B68.0	Taenia solium taeniasis
B68.1	Taenia saginata taeniasis
B68.9	Taeniasis, unspecified
B69.0	Cysticercosis of central nervous system
B69.1	Cysticercosis of eye
B69.81	Myositis in cysticercosis
B69.89	Cysticercosis of other sites
B69.9	Cysticercosis, unspecified
B70.0	Diphyllobothriasis
B70.1	Sparganosis
B71.0	Hymenolepiasis
B71.1	Dipylidiasis
B71.8	Other specified cestode infections
B72	Dracunculiasis
B73.00	Onchocerciasis with eye involvement, unspecified
B73.01	Onchocerciasis with endophthalmitis
B73.02	Onchocerciasis with glaucoma
B73.09	Onchocerciasis with other eye involvement
B73.1	Onchocerciasis without eye disease
B74.0	Filariasis due to Wuchereria bancrofti
B74.1	Filariasis due to Brugia malayi
B74.2	Filariasis due to Brugia timori
B74.3	Loiasis
B74.4	Mansonelliasis
B74.8	Other filariases
B74.9	Filariasis, unspecified
B75	Trichinellosis
B76.0	Ancylostomiasis
B76.1	Necatoriasis
B76.8	Other hookworm diseases
B76.9	Hookworm disease, unspecified
B77.0	Ascariasis with intestinal complications
B77.89	Ascariasis with other complications
B77.9	Ascariasis, unspecified
B78.0	Intestinal strongyloidiasis
B78.7	Disseminated strongyloidiasis
B78.9	Strongyloidiasis, unspecified
B79	Trichuriasis
B80	Enterobiasis
B81.0	Anisakiasis
B81.1	Intestinal capillariasis
B81.2	Trichostrongyliasis
B81.3	Intestinal angiostrongyliasis
B81.4	Mixed intestinal helminthiases
B81.8	Other specified intestinal helminthiases
B82.0	Intestinal helminthiasis, unspecified
B97.21	SARS-associated coronavirus as the cause of diseases classified elsewhere
B97.33	Human T-cell lymphotrophic virus, type I [HTLV-I] as the cause of diseases classified elsewhere
B97.34	Human T-cell lymphotrophic virus, type II [HTLV-II] as the cause of diseases classified elsewhere
B97.35	Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere
C15.3	Malignant neoplasm of upper third of esophagus
C15.4	Malignant neoplasm of middle third of esophagus
C15.5	Malignant neoplasm of lower third of esophagus
C15.8	Malignant neoplasm of overlapping sites of esophagus
C15.9	Malignant neoplasm of esophagus, unspecified
C16.0	Malignant neoplasm of cardia
C16.1	Malignant neoplasm of fundus of stomach
C16.2	Malignant neoplasm of body of stomach
C16.3	Malignant neoplasm of pyloric antrum
C16.4	Malignant neoplasm of pylorus
C16.5	Malignant neoplasm of lesser curvature of stomach, unspecified
C16.6	Malignant neoplasm of greater curvature of stomach, unspecified
C16.8	Malignant neoplasm of overlapping sites of stomach
C16.9	Malignant neoplasm of stomach, unspecified
C17.0	Malignant neoplasm of duodenum
C17.1	Malignant neoplasm of jejunum
C17.2	Malignant neoplasm of ileum
C17.3	Meckel's diverticulum, malignant
C17.8	Malignant neoplasm of overlapping sites of small intestine
C17.9	Malignant neoplasm of small intestine, unspecified
C18.0	Malignant neoplasm of cecum
C18.1	Malignant neoplasm of appendix
C18.2	Malignant neoplasm of ascending colon
C18.3	Malignant neoplasm of hepatic flexure
C18.4	Malignant neoplasm of transverse colon
C18.5	Malignant neoplasm of splenic flexure
C18.6	Malignant neoplasm of descending colon
C18.7	Malignant neoplasm of sigmoid colon
C18.8	Malignant neoplasm of overlapping sites of colon
C18.9	Malignant neoplasm of colon, unspecified
C19	Malignant neoplasm of rectosigmoid junction
C20	Malignant neoplasm of rectum
C21.0	Malignant neoplasm of anus, unspecified
C21.1	Malignant neoplasm of anal canal
C21.2	Malignant neoplasm of cloacogenic zone
C21.8	Malignant neoplasm of overlapping sites of rectum, anus and anal canal
C22.0	Liver cell carcinoma
C22.1	Intrahepatic bile duct carcinoma
C22.2	Hepatoblastoma
C22.3	Angiosarcoma of liver
C22.4	Other sarcomas of liver
C22.7	Other specified carcinomas of liver
C22.8	Malignant neoplasm of liver, primary, unspecified as to type
C22.9	Malignant neoplasm of liver, not specified as primary or secondary
C23	Malignant neoplasm of gallbladder
C24.0	Malignant neoplasm of extrahepatic bile duct
C24.1	Malignant neoplasm of ampulla of Vater
C24.8	Malignant neoplasm of overlapping sites of biliary tract
C24.9	Malignant neoplasm of biliary tract, unspecified
C25.0	Malignant neoplasm of head of pancreas
C25.1	Malignant neoplasm of body of pancreas
C25.2	Malignant neoplasm of tail of pancreas
C25.3	Malignant neoplasm of pancreatic duct
C25.4	Malignant neoplasm of endocrine pancreas
C25.7	Malignant neoplasm of other parts of pancreas
C25.8	Malignant neoplasm of overlapping sites of pancreas
C25.9	Malignant neoplasm of pancreas, unspecified
C33	Malignant neoplasm of trachea
C34.00	Malignant neoplasm of unspecified main bronchus
C34.01	Malignant neoplasm of right main bronchus
C34.02	Malignant neoplasm of left main bronchus
C34.10	Malignant neoplasm of upper lobe, unspecified bronchus or lung
C34.11	Malignant neoplasm of upper lobe, right bronchus or lung
C34.12	Malignant neoplasm of upper lobe, left bronchus or lung
C34.2	Malignant neoplasm of middle lobe, bronchus or lung
C34.30	Malignant neoplasm of lower lobe, unspecified bronchus or lung
C34.31	Malignant neoplasm of lower lobe, right bronchus or lung
C34.32	Malignant neoplasm of lower lobe, left bronchus or lung
C34.80	Malignant neoplasm of overlapping sites of unspecified bronchus and lung
C34.81	Malignant neoplasm of overlapping sites of right bronchus and lung
C34.82	Malignant neoplasm of overlapping sites of left bronchus and lung
C34.90	Malignant neoplasm of unspecified part of unspecified bronchus or lung
C34.91	Malignant neoplasm of unspecified part of right bronchus or lung
C34.92	Malignant neoplasm of unspecified part of left bronchus or lung
C37	Malignant neoplasm of thymus
C38.0	Malignant neoplasm of heart
C38.1	Malignant neoplasm of anterior mediastinum
C38.2	Malignant neoplasm of posterior mediastinum
C38.3	Malignant neoplasm of mediastinum, part unspecified
C38.4	Malignant neoplasm of pleura
C38.8	Malignant neoplasm of overlapping sites of heart, mediastinum and pleura
C40.00	Malignant neoplasm of scapula and long bones of unspecified upper limb
C40.01	Malignant neoplasm of scapula and long bones of right upper limb
C40.02	Malignant neoplasm of scapula and long bones of left upper limb
C40.10	Malignant neoplasm of short bones of unspecified upper limb
C40.11	Malignant neoplasm of short bones of right upper limb
C40.12	Malignant neoplasm of short bones of left upper limb
C40.20	Malignant neoplasm of long bones of unspecified lower limb
C40.21	Malignant neoplasm of long bones of right lower limb
C40.22	Malignant neoplasm of long bones of left lower limb
