TABLE 6I - COMPLETE MCC LIST
Diagnosis Code	Description
A52.13	Late syphilitic meningitis
A52.14	Late syphilitic encephalitis
A54.81	Gonococcal meningitis
A54.86	Gonococcal sepsis
A80.0	Acute paralytic poliomyelitis, vaccine-associated
A80.1	Acute paralytic poliomyelitis, wild virus, imported
A80.2	Acute paralytic poliomyelitis, wild virus, indigenous
A80.30	Acute paralytic poliomyelitis, unspecified
A80.39	Other acute paralytic poliomyelitis
A83.0	Japanese encephalitis
A83.1	Western equine encephalitis
A83.2	Eastern equine encephalitis
A83.3	St Louis encephalitis
A83.4	Australian encephalitis
A83.5	California encephalitis
A83.6	Rocio virus disease
A83.8	Other mosquito-borne viral encephalitis
A83.9	Mosquito-borne viral encephalitis, unspecified
A84.0	Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
A84.1	Central European tick-borne encephalitis
A84.81	Powassan virus disease
A84.89	Other tick-borne viral encephalitis
A84.9	Tick-borne viral encephalitis, unspecified
A85.2	Arthropod-borne viral encephalitis, unspecified
A92.30	West Nile virus infection, unspecified
A92.31	West Nile virus infection with encephalitis
A92.32	West Nile virus infection with other neurologic manifestation
A92.39	West Nile virus infection with other complications
B00.3	Herpesviral meningitis
B00.4	Herpesviral encephalitis
B00.7	Disseminated herpesviral disease
B00.82	Herpes simplex myelitis
B01.11	Varicella encephalitis and encephalomyelitis
B01.12	Varicella myelitis
B01.2	Varicella pneumonia
B02.1	Zoster meningitis
B02.24	Postherpetic myelitis
B05.0	Measles complicated by encephalitis
B05.2	Measles complicated by pneumonia
B06.01	Rubella encephalitis
B10.01	Human herpesvirus 6 encephalitis
B10.09	Other human herpesvirus encephalitis
B15.0	Hepatitis A with hepatic coma
B16.0	Acute hepatitis B with delta-agent with hepatic coma
B16.2	Acute hepatitis B without delta-agent with hepatic coma
B17.11	Acute hepatitis C with hepatic coma
B19.0	Unspecified viral hepatitis with hepatic coma
B19.11	Unspecified viral hepatitis B with hepatic coma
B19.21	Unspecified viral hepatitis C with hepatic coma
B25.0	Cytomegaloviral pneumonitis
B25.2	Cytomegaloviral pancreatitis
B26.1	Mumps meningitis
B26.2	Mumps encephalitis
B37.1	Pulmonary candidiasis
B37.5	Candidal meningitis
B37.6	Candidal endocarditis
B37.7	Candidal sepsis
B38.4	Coccidioidomycosis meningitis
B39.0	Acute pulmonary histoplasmosis capsulati
B39.1	Chronic pulmonary histoplasmosis capsulati
B39.2	Pulmonary histoplasmosis capsulati, unspecified
B44.0	Invasive pulmonary aspergillosis
B45.1	Cerebral cryptococcosis
B46.0	Pulmonary mucormycosis
B46.1	Rhinocerebral mucormycosis
B46.2	Gastrointestinal mucormycosis
B46.3	Cutaneous mucormycosis
B46.4	Disseminated mucormycosis
B46.5	Mucormycosis, unspecified
B46.8	Other zygomycoses
B46.9	Zygomycosis, unspecified
B50.9	Plasmodium falciparum malaria, unspecified
B58.2	Toxoplasma meningoencephalitis
B58.3	Pulmonary toxoplasmosis
B58.81	Toxoplasma myocarditis
B59	Pneumocystosis
B77.81	Ascariasis pneumonia
D57.00	Hb-SS disease with crisis, unspecified
D57.01	Hb-SS disease with acute chest syndrome
D57.02	Hb-SS disease with splenic sequestration
D57.03	Hb-SS disease with cerebral vascular involvement
D57.04	Hb-SS disease with dactylitis
D57.09	Hb-SS disease with crisis with other specified complication
D57.211	Sickle-cell/Hb-C disease with acute chest syndrome
D57.212	Sickle-cell/Hb-C disease with splenic sequestration
D57.213	Sickle-cell/Hb-C disease with cerebral vascular involvement
D57.214	Sickle-cell/Hb-C disease with dactylitis
D57.218	Sickle-cell/Hb-C disease with crisis with other specified complication
D57.219	Sickle-cell/Hb-C disease with crisis, unspecified
D57.411	Sickle-cell thalassemia, unspecified, with acute chest syndrome
D57.412	Sickle-cell thalassemia, unspecified, with splenic sequestration
D57.413	Sickle-cell thalassemia, unspecified, with cerebral vascular involvement
D57.414	Sickle-cell thalassemia, unspecified, with dactylitis
D57.418	Sickle-cell thalassemia, unspecified, with crisis with other specified complication
D57.419	Sickle-cell thalassemia, unspecified, with crisis
D57.431	Sickle-cell thalassemia beta zero with acute chest syndrome
D57.432	Sickle-cell thalassemia beta zero with splenic sequestration
D57.433	Sickle-cell thalassemia beta zero with cerebral vascular involvement
D57.434	Sickle-cell thalassemia beta zero with dactylitis
D57.438	Sickle-cell thalassemia beta zero with crisis with other specified complication
D57.439	Sickle-cell thalassemia beta zero with crisis, unspecified
D57.451	Sickle-cell thalassemia beta plus with acute chest syndrome
D57.452	Sickle-cell thalassemia beta plus with splenic sequestration
D57.453	Sickle-cell thalassemia beta plus with cerebral vascular involvement
D57.454	Sickle-cell thalassemia beta plus with dactylitis
D57.458	Sickle-cell thalassemia beta plus with crisis with other specified complication
D57.459	Sickle-cell thalassemia beta plus with crisis, unspecified
D57.811	Other sickle-cell disorders with acute chest syndrome
D57.812	Other sickle-cell disorders with splenic sequestration
D57.813	Other sickle-cell disorders with cerebral vascular involvement
D57.814	Other sickle-cell disorders with dactylitis
D57.818	Other sickle-cell disorders with crisis with other specified complication
D57.819	Other sickle-cell disorders with crisis, unspecified
D59.30	Hemolytic-uremic syndrome, unspecified
D59.31	Infection-associated hemolytic-uremic syndrome
D59.32	Hereditary hemolytic-uremic syndrome
D59.39	Other hemolytic-uremic syndrome
D60.0	Chronic acquired pure red cell aplasia
D60.1	Transient acquired pure red cell aplasia
D60.8	Other acquired pure red cell aplasias
D60.9	Acquired pure red cell aplasia, unspecified
D61.1	Drug-induced aplastic anemia
D61.2	Aplastic anemia due to other external agents
D61.3	Idiopathic aplastic anemia
D61.810	Antineoplastic chemotherapy induced pancytopenia
D61.811	Other drug-induced pancytopenia
D61.89	Other specified aplastic anemias and other bone marrow failure syndromes
D65	Disseminated intravascular coagulation [defibrination syndrome]
D66	Hereditary factor VIII deficiency
D67	Hereditary factor IX deficiency
E03.5	Myxedema coma
E05.01	Thyrotoxicosis with diffuse goiter with thyrotoxic crisis or storm
E05.11	Thyrotoxicosis with toxic single thyroid nodule with thyrotoxic crisis or storm
E05.21	Thyrotoxicosis with toxic multinodular goiter with thyrotoxic crisis or storm
E05.31	Thyrotoxicosis from ectopic thyroid tissue with thyrotoxic crisis or storm
E05.41	Thyrotoxicosis factitia with thyrotoxic crisis or storm
E05.81	Other thyrotoxicosis with thyrotoxic crisis or storm
E05.91	Thyrotoxicosis, unspecified with thyrotoxic crisis or storm
E08.00	Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E08.01	Diabetes mellitus due to underlying condition with hyperosmolarity with coma
E08.10	Diabetes mellitus due to underlying condition with ketoacidosis without coma
E08.11	Diabetes mellitus due to underlying condition with ketoacidosis with coma
E08.641	Diabetes mellitus due to underlying condition with hypoglycemia with coma
E09.00	Drug or chemical induced diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E09.01	Drug or chemical induced diabetes mellitus with hyperosmolarity with coma
E09.10	Drug or chemical induced diabetes mellitus with ketoacidosis without coma
E09.11	Drug or chemical induced diabetes mellitus with ketoacidosis with coma
E09.641	Drug or chemical induced diabetes mellitus with hypoglycemia with coma
E10.10	Type 1 diabetes mellitus with ketoacidosis without coma
E10.11	Type 1 diabetes mellitus with ketoacidosis with coma
E10.641	Type 1 diabetes mellitus with hypoglycemia with coma
E11.00	Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E11.01	Type 2 diabetes mellitus with hyperosmolarity with coma
E11.10	Type 2 diabetes mellitus with ketoacidosis without coma
E11.11	Type 2 diabetes mellitus with ketoacidosis with coma
E11.641	Type 2 diabetes mellitus with hypoglycemia with coma
E13.00	Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E13.01	Other specified diabetes mellitus with hyperosmolarity with coma
E13.10	Other specified diabetes mellitus with ketoacidosis without coma
E13.11	Other specified diabetes mellitus with ketoacidosis with coma
E13.641	Other specified diabetes mellitus with hypoglycemia with coma
E40	Kwashiorkor
E41	Nutritional marasmus
E42	Marasmic kwashiorkor
E43	Unspecified severe protein-calorie malnutrition
E84.0	Cystic fibrosis with pulmonary manifestations
E84.11	Meconium ileus in cystic fibrosis
E88.3	Tumor lysis syndrome
G00.0	Hemophilus meningitis
G00.1	Pneumococcal meningitis
G00.2	Streptococcal meningitis
G00.3	Staphylococcal meningitis
G00.8	Other bacterial meningitis
G00.9	Bacterial meningitis, unspecified
G01	Meningitis in bacterial diseases classified elsewhere
G02	Meningitis in other infectious and parasitic diseases classified elsewhere
G03.0	Nonpyogenic meningitis
G03.8	Meningitis due to other specified causes
G03.9	Meningitis, unspecified
G04.00	Acute disseminated encephalitis and encephalomyelitis, unspecified
G04.01	Postinfectious acute disseminated encephalitis and encephalomyelitis (postinfectious ADEM)
G04.02	Postimmunization acute disseminated encephalitis, myelitis and encephalomyelitis
G04.2	Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified
G04.30	Acute necrotizing hemorrhagic encephalopathy, unspecified
G04.31	Postinfectious acute necrotizing hemorrhagic encephalopathy
G04.32	Postimmunization acute necrotizing hemorrhagic encephalopathy
G04.39	Other acute necrotizing hemorrhagic encephalopathy
G04.81	Other encephalitis and encephalomyelitis
G04.82	Acute flaccid myelitis
G04.89	Other myelitis
G04.90	Encephalitis and encephalomyelitis, unspecified
G04.91	Myelitis, unspecified
G05.3	Encephalitis and encephalomyelitis in diseases classified elsewhere
G05.4	Myelitis in diseases classified elsewhere
G06.0	Intracranial abscess and granuloma
G06.1	Intraspinal abscess and granuloma
G06.2	Extradural and subdural abscess, unspecified
G07	Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
G08	Intracranial and intraspinal phlebitis and thrombophlebitis
G21.0	Malignant neuroleptic syndrome
G37.4	Subacute necrotizing myelitis of central nervous system
G40.301	Generalized idiopathic epilepsy and epileptic syndromes, not intractable, with status epilepticus
G40.311	Generalized idiopathic epilepsy and epileptic syndromes, intractable, with status epilepticus
G40.319	Generalized idiopathic epilepsy and epileptic syndromes, intractable, without status epilepticus
G70.01	Myasthenia gravis with (acute) exacerbation
G80.0	Spastic quadriplegic cerebral palsy
G82.50	Quadriplegia, unspecified
G82.51	Quadriplegia, C1-C4 complete
G82.52	Quadriplegia, C1-C4 incomplete
G82.53	Quadriplegia, C5-C7 complete
G82.54	Quadriplegia, C5-C7 incomplete
G83.5	Locked-in state
G92.8	Other toxic encephalopathy
G92.9	Unspecified toxic encephalopathy
G93.41	Metabolic encephalopathy
G93.5	Compression of brain
G93.6	Cerebral edema
G93.7	Reye's syndrome
G93.82	Brain death
G95.11	Acute infarction of spinal cord (embolic) (nonembolic)
G95.19	Other vascular myelopathies
I21.01	ST elevation (STEMI) myocardial infarction involving left main coronary artery
I21.02	ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery
I21.09	ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall
I21.11	ST elevation (STEMI) myocardial infarction involving right coronary artery
I21.19	ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall
I21.21	ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery
I21.29	ST elevation (STEMI) myocardial infarction involving other sites
I21.3	ST elevation (STEMI) myocardial infarction of unspecified site
I21.4	Non-ST elevation (NSTEMI) myocardial infarction
I21.9	Acute myocardial infarction, unspecified
I21.A1	Myocardial infarction type 2
I21.A9	Other myocardial infarction type
I21.B	Myocardial infarction with coronary microvascular dysfunction
I22.0	Subsequent ST elevation (STEMI) myocardial infarction of anterior wall
I22.1	Subsequent ST elevation (STEMI) myocardial infarction of inferior wall
I22.2	Subsequent non-ST elevation (NSTEMI) myocardial infarction
I22.8	Subsequent ST elevation (STEMI) myocardial infarction of other sites
I22.9	Subsequent ST elevation (STEMI) myocardial infarction of unspecified site
I23.4	Rupture of chordae tendineae as current complication following acute myocardial infarction
I23.5	Rupture of papillary muscle as current complication following acute myocardial infarction
I25.42	Coronary artery dissection
I26.01	Septic pulmonary embolism with acute cor pulmonale
I26.02	Saddle embolus of pulmonary artery with acute cor pulmonale
I26.03	Cement embolism of pulmonary artery with acute cor pulmonale
I26.04	Fat embolism of pulmonary artery with acute cor pulmonale
I26.09	Other pulmonary embolism with acute cor pulmonale
I26.90	Septic pulmonary embolism without acute cor pulmonale
I26.92	Saddle embolus of pulmonary artery without acute cor pulmonale
I26.93	Single subsegmental thrombotic pulmonary embolism without acute cor pulmonale
I26.94	Multiple subsegmental thrombotic pulmonary emboli without acute cor pulmonale
I26.95	Cement embolism of pulmonary artery without acute cor pulmonale
I26.96	Fat embolism of pulmonary artery without acute cor pulmonale
I26.99	Other pulmonary embolism without acute cor pulmonale
I33.0	Acute and subacute infective endocarditis
I33.9	Acute and subacute endocarditis, unspecified
I40.0	Infective myocarditis
I40.1	Isolated myocarditis
I40.8	Other acute myocarditis
I40.9	Acute myocarditis, unspecified
I41	Myocarditis in diseases classified elsewhere
I46.2	Cardiac arrest due to underlying cardiac condition
I46.8	Cardiac arrest due to other underlying condition
I46.9	Cardiac arrest, cause unspecified
I49.01	Ventricular fibrillation
I49.02	Ventricular flutter
I50.21	Acute systolic (congestive) heart failure
I50.23	Acute on chronic systolic (congestive) heart failure
I50.31	Acute diastolic (congestive) heart failure
I50.33	Acute on chronic diastolic (congestive) heart failure
I50.41	Acute combined systolic (congestive) and diastolic (congestive) heart failure
I50.43	Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure
I51.1	Rupture of chordae tendineae, not elsewhere classified
I51.2	Rupture of papillary muscle, not elsewhere classified
I60.00	Nontraumatic subarachnoid hemorrhage from unspecified carotid siphon and bifurcation
I60.01	Nontraumatic subarachnoid hemorrhage from right carotid siphon and bifurcation
I60.02	Nontraumatic subarachnoid hemorrhage from left carotid siphon and bifurcation
I60.10	Nontraumatic subarachnoid hemorrhage from unspecified middle cerebral artery
I60.11	Nontraumatic subarachnoid hemorrhage from right middle cerebral artery
I60.12	Nontraumatic subarachnoid hemorrhage from left middle cerebral artery
I60.2	Nontraumatic subarachnoid hemorrhage from anterior communicating artery
I60.30	Nontraumatic subarachnoid hemorrhage from unspecified posterior communicating artery
I60.31	Nontraumatic subarachnoid hemorrhage from right posterior communicating artery
I60.32	Nontraumatic subarachnoid hemorrhage from left posterior communicating artery
I60.4	Nontraumatic subarachnoid hemorrhage from basilar artery
I60.50	Nontraumatic subarachnoid hemorrhage from unspecified vertebral artery
I60.51	Nontraumatic subarachnoid hemorrhage from right vertebral artery
I60.52	Nontraumatic subarachnoid hemorrhage from left vertebral artery
I60.6	Nontraumatic subarachnoid hemorrhage from other intracranial arteries
I60.7	Nontraumatic subarachnoid hemorrhage from unspecified intracranial artery
I60.8	Other nontraumatic subarachnoid hemorrhage
I60.9	Nontraumatic subarachnoid hemorrhage, unspecified
I61.0	Nontraumatic intracerebral hemorrhage in hemisphere, subcortical
I61.1	Nontraumatic intracerebral hemorrhage in hemisphere, cortical
I61.2	Nontraumatic intracerebral hemorrhage in hemisphere, unspecified
I61.3	Nontraumatic intracerebral hemorrhage in brain stem
I61.4	Nontraumatic intracerebral hemorrhage in cerebellum
I61.5	Nontraumatic intracerebral hemorrhage, intraventricular
I61.6	Nontraumatic intracerebral hemorrhage, multiple localized
I61.8	Other nontraumatic intracerebral hemorrhage
I61.9	Nontraumatic intracerebral hemorrhage, unspecified
I62.00	Nontraumatic subdural hemorrhage, unspecified
I62.01	Nontraumatic acute subdural hemorrhage
I62.02	Nontraumatic subacute subdural hemorrhage
I62.03	Nontraumatic chronic subdural hemorrhage
I62.1	Nontraumatic extradural hemorrhage
I63.00	Cerebral infarction due to thrombosis of unspecified precerebral artery
I63.011	Cerebral infarction due to thrombosis of right vertebral artery
I63.012	Cerebral infarction due to thrombosis of left vertebral artery
I63.013	Cerebral infarction due to thrombosis of bilateral vertebral arteries
I63.019	Cerebral infarction due to thrombosis of unspecified vertebral artery
I63.02	Cerebral infarction due to thrombosis of basilar artery
I63.031	Cerebral infarction due to thrombosis of right carotid artery
I63.032	Cerebral infarction due to thrombosis of left carotid artery
I63.033	Cerebral infarction due to thrombosis of bilateral carotid arteries
I63.039	Cerebral infarction due to thrombosis of unspecified carotid artery
I63.09	Cerebral infarction due to thrombosis of other precerebral artery
I63.10	Cerebral infarction due to embolism of unspecified precerebral artery
I63.111	Cerebral infarction due to embolism of right vertebral artery
I63.112	Cerebral infarction due to embolism of left vertebral artery
I63.113	Cerebral infarction due to embolism of bilateral vertebral arteries
I63.119	Cerebral infarction due to embolism of unspecified vertebral artery
I63.12	Cerebral infarction due to embolism of basilar artery
I63.131	Cerebral infarction due to embolism of right carotid artery
I63.132	Cerebral infarction due to embolism of left carotid artery
I63.133	Cerebral infarction due to embolism of bilateral carotid arteries
I63.139	Cerebral infarction due to embolism of unspecified carotid artery
I63.19	Cerebral infarction due to embolism of other precerebral artery
I63.20	Cerebral infarction due to unspecified occlusion or stenosis of unspecified precerebral arteries
I63.211	Cerebral infarction due to unspecified occlusion or stenosis of right vertebral artery
I63.212	Cerebral infarction due to unspecified occlusion or stenosis of left vertebral artery
I63.213	Cerebral infarction due to unspecified occlusion or stenosis of bilateral vertebral arteries
I63.219	Cerebral infarction due to unspecified occlusion or stenosis of unspecified vertebral artery
I63.22	Cerebral infarction due to unspecified occlusion or stenosis of basilar artery
I63.231	Cerebral infarction due to unspecified occlusion or stenosis of right carotid arteries
I63.232	Cerebral infarction due to unspecified occlusion or stenosis of left carotid arteries
I63.233	Cerebral infarction due to unspecified occlusion or stenosis of bilateral carotid arteries
I63.239	Cerebral infarction due to unspecified occlusion or stenosis of unspecified carotid artery
I63.29	Cerebral infarction due to unspecified occlusion or stenosis of other precerebral arteries
I63.30	Cerebral infarction due to thrombosis of unspecified cerebral artery
I63.311	Cerebral infarction due to thrombosis of right middle cerebral artery
I63.312	Cerebral infarction due to thrombosis of left middle cerebral artery
I63.313	Cerebral infarction due to thrombosis of bilateral middle cerebral arteries
I63.319	Cerebral infarction due to thrombosis of unspecified middle cerebral artery
I63.321	Cerebral infarction due to thrombosis of right anterior cerebral artery
I63.322	Cerebral infarction due to thrombosis of left anterior cerebral artery
I63.323	Cerebral infarction due to thrombosis of bilateral anterior cerebral arteries
I63.329	Cerebral infarction due to thrombosis of unspecified anterior cerebral artery
I63.331	Cerebral infarction due to thrombosis of right posterior cerebral artery
I63.332	Cerebral infarction due to thrombosis of left posterior cerebral artery
I63.333	Cerebral infarction due to thrombosis of bilateral posterior cerebral arteries
I63.339	Cerebral infarction due to thrombosis of unspecified posterior cerebral artery
I63.341	Cerebral infarction due to thrombosis of right cerebellar artery
I63.342	Cerebral infarction due to thrombosis of left cerebellar artery
I63.343	Cerebral infarction due to thrombosis of bilateral cerebellar arteries
I63.349	Cerebral infarction due to thrombosis of unspecified cerebellar artery
I63.39	Cerebral infarction due to thrombosis of other cerebral artery
I63.40	Cerebral infarction due to embolism of unspecified cerebral artery
I63.411	Cerebral infarction due to embolism of right middle cerebral artery
I63.412	Cerebral infarction due to embolism of left middle cerebral artery
I63.413	Cerebral infarction due to embolism of bilateral middle cerebral arteries
I63.419	Cerebral infarction due to embolism of unspecified middle cerebral artery
I63.421	Cerebral infarction due to embolism of right anterior cerebral artery
I63.422	Cerebral infarction due to embolism of left anterior cerebral artery
I63.423	Cerebral infarction due to embolism of bilateral anterior cerebral arteries
I63.429	Cerebral infarction due to embolism of unspecified anterior cerebral artery
I63.431	Cerebral infarction due to embolism of right posterior cerebral artery
I63.432	Cerebral infarction due to embolism of left posterior cerebral artery
I63.433	Cerebral infarction due to embolism of bilateral posterior cerebral arteries
I63.439	Cerebral infarction due to embolism of unspecified posterior cerebral artery
I63.441	Cerebral infarction due to embolism of right cerebellar artery
I63.442	Cerebral infarction due to embolism of left cerebellar artery
I63.443	Cerebral infarction due to embolism of bilateral cerebellar arteries
I63.449	Cerebral infarction due to embolism of unspecified cerebellar artery
I63.49	Cerebral infarction due to embolism of other cerebral artery
I63.50	Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery
I63.511	Cerebral infarction due to unspecified occlusion or stenosis of right middle cerebral artery
I63.512	Cerebral infarction due to unspecified occlusion or stenosis of left middle cerebral artery
I63.513	Cerebral infarction due to unspecified occlusion or stenosis of bilateral middle cerebral arteries
I63.519	Cerebral infarction due to unspecified occlusion or stenosis of unspecified middle cerebral artery
I63.521	Cerebral infarction due to unspecified occlusion or stenosis of right anterior cerebral artery
I63.522	Cerebral infarction due to unspecified occlusion or stenosis of left anterior cerebral artery
I63.523	Cerebral infarction due to unspecified occlusion or stenosis of bilateral anterior cerebral arteries
I63.529	Cerebral infarction due to unspecified occlusion or stenosis of unspecified anterior cerebral artery
I63.531	Cerebral infarction due to unspecified occlusion or stenosis of right posterior cerebral artery
I63.532	Cerebral infarction due to unspecified occlusion or stenosis of left posterior cerebral artery
I63.533	Cerebral infarction due to unspecified occlusion or stenosis of bilateral posterior cerebral arteries
I63.539	Cerebral infarction due to unspecified occlusion or stenosis of unspecified posterior cerebral artery
I63.541	Cerebral infarction due to unspecified occlusion or stenosis of right cerebellar artery
I63.542	Cerebral infarction due to unspecified occlusion or stenosis of left cerebellar artery
I63.543	Cerebral infarction due to unspecified occlusion or stenosis of bilateral cerebellar arteries
I63.549	Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebellar artery
I63.59	Cerebral infarction due to unspecified occlusion or stenosis of other cerebral artery
I63.6	Cerebral infarction due to cerebral venous thrombosis, nonpyogenic
I63.81	Other cerebral infarction due to occlusion or stenosis of small artery
I63.89	Other cerebral infarction
I63.9	Cerebral infarction, unspecified
I67.0	Dissection of cerebral arteries, nonruptured
I67.83	Posterior reversible encephalopathy syndrome
I71.00	Dissection of unspecified site of aorta
I71.010	Dissection of ascending aorta
I71.011	Dissection of aortic arch
I71.012	Dissection of descending thoracic aorta
I71.019	Dissection of thoracic aorta, unspecified
I71.02	Dissection of abdominal aorta
I71.03	Dissection of thoracoabdominal aorta
I71.10	Thoracic aortic aneurysm, ruptured, unspecified
I71.11	Aneurysm of the ascending aorta, ruptured
I71.12	Aneurysm of the aortic arch, ruptured
I71.13	Aneurysm of the descending thoracic aorta, ruptured
I71.30	Abdominal aortic aneurysm, ruptured, unspecified
I71.31	Pararenal abdominal aortic aneurysm, ruptured
I71.32	Juxtarenal abdominal aortic aneurysm, ruptured
I71.33	Infrarenal abdominal aortic aneurysm, ruptured
I71.50	Thoracoabdominal aortic aneurysm, ruptured, unspecified
I71.51	Supraceliac aneurysm of the thoracoabdominal aorta, ruptured
I71.52	Paravisceral aneurysm of the thoracoabdominal aorta, ruptured
I71.8	Aortic aneurysm of unspecified site, ruptured
I74.01	Saddle embolus of abdominal aorta
I77.70	Dissection of unspecified artery
I77.71	Dissection of carotid artery
I77.72	Dissection of iliac artery
I77.73	Dissection of renal artery
I77.74	Dissection of vertebral artery
I77.75	Dissection of other precerebral arteries
I77.76	Dissection of artery of upper extremity
I77.77	Dissection of artery of lower extremity
I77.79	Dissection of other specified artery
I81	Portal vein thrombosis
I82.0	Budd-Chiari syndrome
I82.220	Acute embolism and thrombosis of inferior vena cava
I82.221	Chronic embolism and thrombosis of inferior vena cava
I85.01	Esophageal varices with bleeding
I85.11	Secondary esophageal varices with bleeding
J04.11	Acute tracheitis with obstruction
J04.31	Supraglottitis, unspecified, with obstruction
J05.11	Acute epiglottitis with obstruction
J09.X1	Influenza due to identified novel influenza A virus with pneumonia
J10.00	Influenza due to other identified influenza virus with unspecified type of pneumonia
J10.01	Influenza due to other identified influenza virus with the same other identified influenza virus pneumonia
J10.08	Influenza due to other identified influenza virus with other specified pneumonia
J11.00	Influenza due to unidentified influenza virus with unspecified type of pneumonia
J11.08	Influenza due to unidentified influenza virus with specified pneumonia
J12.0	Adenoviral pneumonia
J12.1	Respiratory syncytial virus pneumonia
J12.2	Parainfluenza virus pneumonia
J12.3	Human metapneumovirus pneumonia
J12.81	Pneumonia due to SARS-associated coronavirus
J12.82	Pneumonia due to coronavirus disease 2019
J12.89	Other viral pneumonia
J12.9	Viral pneumonia, unspecified
J13	Pneumonia due to Streptococcus pneumoniae
J14	Pneumonia due to Hemophilus influenzae
J15.0	Pneumonia due to Klebsiella pneumoniae
J15.1	Pneumonia due to Pseudomonas
J15.20	Pneumonia due to staphylococcus, unspecified
J15.211	Pneumonia due to Methicillin susceptible Staphylococcus aureus
J15.212	Pneumonia due to Methicillin resistant Staphylococcus aureus
J15.29	Pneumonia due to other staphylococcus
J15.3	Pneumonia due to streptococcus, group B
J15.4	Pneumonia due to other streptococci
J15.5	Pneumonia due to Escherichia coli
J15.61	Pneumonia due to Acinetobacter baumannii
J15.69	Pneumonia due to other Gram-negative bacteria
J15.7	Pneumonia due to Mycoplasma pneumoniae
J15.8	Pneumonia due to other specified bacteria
J15.9	Unspecified bacterial pneumonia
J16.0	Chlamydial pneumonia
